district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,number_of_employees_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek
HYDERABAD,SECUNDERABAD,SECUNDERABAD,SURYA HALLMARKING CENTER,"GOLD AND SILVER SMITHY (PURIFICATION WITH ACID, SMELTING OPERATING AND SULFURIC ACIDPOLISHING OPERATION) (USING LESS THAN OR EQUAL TO 1 LITRE OF SULPHURIC ACID / NITRIC ACID PERMONTH.",ENGINEERING,0.1,2,2025-08-08,,YET TO START CONSTRUCTION,YES,GENERAL,-0.8222799684935107,21,41,46,49,26,5,8,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000008,0,0,0,2025,8,8,4,,,,,1970,1,1,3,1970,1,1,3
KARIMNAGAR,KOTHAPALLY,KHAZIPUR,GAJANANA GRANITES INDUSTRIES,GRANITE / STONE CUTTING AND POLISHING,OTHERS,0.95,10,2025-08-16,,YET TO START CONSTRUCTION,YES,OBC,-0.37199830401141637,22,42,47,50,27,14,9,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000008,0,0,1,2025,8,16,5,,,,,1970,1,1,3,1970,1,1,3
KHAMMAM,PENUBALLI,KARAIGUDEM,SRI SAI RAM SEEDS,COB DRYING (FUEL CONSUMPTION MORE THAN 12 TPD),OTHERS,5.72725,25,2025-07-26,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,23,43,48,51,28,14,15,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000009,0,0,0,2025,7,26,5,,,,,1970,1,1,3,1970,1,1,3
YADADRI,BIBINAGAR,RAIRAOPET,VIJAYA MINING AND DRILLING SYSTEMS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.9938,8,2025-07-29,,YET TO START CONSTRUCTION,YES,OBC,-0.34879555471222135,5,5,5,52,5,5,5,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000009,0,0,1,2025,7,29,1,,,,,1970,1,1,3,1970,1,1,3
HANUMAKONDA,HASANPARTHY,YELLAPUR,ANANTHSAGAR TILES,MINERAL STACK YARD / RAILWAY SIDINGS,OTHERS,0.4976,9,2024-07-15,,YET TO START CONSTRUCTION,YES,OBC,-0.6116540981428276,24,44,49,53,29,14,12,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000009,0,0,1,2024,7,15,0,,,,,1970,1,1,3,1970,1,1,3
SIDDIPET,KONDAPAK,KUKNURPALLE,KOLA ANJANEYULU GODOWN,"FACILITY OF HANDLING, STORAGE AND TRANSPORTATION OF FOOD GRAINS IN BULK",AGRO BASED INCL COLD STORAGES,0.65,1,2025-08-14,,YET TO START CONSTRUCTION,YES,OBC,-0.5309212444168615,0,45,50,54,30,0,0,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000009,0,0,1,2025,8,14,3,,,,,1970,1,1,3,1970,1,1,3
PEDDAPALLI,MUTHARAM (MANTHANI),KESANAPALLE,M/S. RADHA KRISHNA RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.75,12,2025-04-27,,YET TO START CONSTRUCTION,YES,OBC,-0.47794693094837976,1,46,51,55,7,1,6,1970-01-01 00:00:00.000000037,1970-01-01 00:00:00.000000009,0,0,1,2025,4,27,6,,,,,1970,1,1,3,1970,1,1,3
NIRMAL,KHANAPUR,SATHNAPALLE,M/S. SRI LAXMI NARASIMHA MODERN RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.75,12,2025-08-06,,YET TO START CONSTRUCTION,YES,OBC,-0.47794693094837976,11,47,52,56,7,1,6,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000009,0,0,1,2025,8,6,2,,,,,1970,1,1,3,1970,1,1,3
JANGAON,JANGAON,OBLAKESHVAPUR,SIDDESHWARA MINERAL WATER PLANT,MINERALIZED WATER,BEVERAGES,0.029,1,2025-08-11,,YET TO START CONSTRUCTION,YES,OBC,-0.8598917310561328,19,48,53,57,22,13,0,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000009,0,0,1,2025,8,11,0,,,,,1970,1,1,3,1970,1,1,3
KHAMMAM,KHAMMAM (URBAN),KHANAPURAM (HAVELI),MAHAVEER ICE CREAM,ICE CREAM,BEVERAGES,0.2489,6,2025-08-14,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7434012157389416,23,49,54,58,31,13,3,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000009,0,0,0,2025,8,14,3,,,,,1970,1,1,3,1970,1,1,3
